bg_geoid,lat,lng,population,acs_vintage,jobs,lodes_vintage
170310506002,41.9487182,-87.6761364,962,ACS 2020-2024 5-year,169,LODES8 2023
170310507001,41.9450710,-87.6760595,1470,ACS 2020-2024 5-year,258,LODES8 2023
170310508001,41.9450095,-87.6809279,1448,ACS 2020-2024 5-year,244,LODES8 2023
170310509001,41.9449466,-87.6857780,1456,ACS 2020-2024 5-year,84,LODES8 2023
170310510001,41.9413024,-87.6857317,1641,ACS 2020-2024 5-year,330,LODES8 2023
170310511001,41.9413652,-87.6808266,1851,ACS 2020-2024 5-year,309,LODES8 2023
170310512001,41.9423370,-87.6759793,720,ACS 2020-2024 5-year,55,LODES8 2023
170310512002,41.9405129,-87.6759279,816,ACS 2020-2024 5-year,70,LODES8 2023
170310513001,41.9377815,-87.6758471,1305,ACS 2020-2024 5-year,88,LODES8 2023
170310513002,41.9341350,-87.6758317,1505,ACS 2020-2024 5-year,263,LODES8 2023
170310514001,41.9377203,-87.6807253,1322,ACS 2020-2024 5-year,118,LODES8 2023
170310514002,41.9336703,-87.6811406,1284,ACS 2020-2024 5-year,37,LODES8 2023
170310601001,41.9591015,-87.6663174,1003,ACS 2020-2024 5-year,104,LODES8 2023
170310601002,41.9556420,-87.6653004,1084,ACS 2020-2024 5-year,175,LODES8 2023
170310601003,41.9579538,-87.6683952,808,ACS 2020-2024 5-year,14,LODES8 2023
170310602001,41.9597356,-87.6715657,1264,ACS 2020-2024 5-year,283,LODES8 2023
170310602002,41.9560849,-87.6714696,912,ACS 2020-2024 5-year,577,LODES8 2023
170310603001,41.9524327,-87.6713760,1453,ACS 2020-2024 5-year,255,LODES8 2023
170310603002,41.9487845,-87.6712895,1604,ACS 2020-2024 5-year,288,LODES8 2023
170310604001,41.9520863,-87.6656379,1520,ACS 2020-2024 5-year,201,LODES8 2023
170310604002,41.9486731,-87.6661174,860,ACS 2020-2024 5-year,190,LODES8 2023
170310604003,41.9508719,-87.6682599,1153,ACS 2020-2024 5-year,485,LODES8 2023
