license_id,name,category,lat,lng
2966437,URGILES AUTO REPAIR LLC,other,41.90985,-87.71928
2966471,UME TEA,restaurant_cafe,41.87799,-87.62446
2966487,NEW METRO AUTO BODY,other,41.83682,-87.66691
2966488,FAST MUFFLERZ CORPORATION,other,42.00709,-87.67367
2966494,GEMIVIA JEWELRY,retail_general,41.88192,-87.62606
2966543,LEO MAIDS,other,41.99908,-87.68855
2966567,THE QUEEN B CAFE,restaurant_cafe,41.93760,-87.66598
2966574,SOUL SOUL CAFE LLC,restaurant_cafe,41.76538,-87.57643
2966581,Santa Masa Tamaleria,restaurant_cafe,41.94523,-87.81607
2966598,EXTRA SPACE STORAGE (# 4218),retail_general,42.00115,-87.67182
2966599,EXTRA SPACE STORAGE #6381,retail_general,41.97420,-87.76691
2966613,GOOD LOOK STUDIOS LLC,personal_services,41.91829,-87.64881
2966691,Gio's Sports Bar,restaurant_cafe,41.97043,-87.67909
2966692,Gio's Sports Bar,liquor_tavern,41.97043,-87.67909
2966707,FAIRY NAIL SPA,personal_services,41.94417,-87.65438
2966719,LAKE SHORE MARKETPLACE,grocery,41.90736,-87.62581
2966720,LAKE SHORE MARKETPLACE,liquor_tavern,41.90736,-87.62581
2966725,EL MILAGRO,other,41.83697,-87.71351
2966746,FLOR BORICUA,other,41.88391,-87.70606
2966751,IN-TAO,other,41.83833,-87.63329
2966756,RIM FOODS,grocery,41.90942,-87.77073
2966765,THE MOSS WAY,other,41.72513,-87.64589
2966779,23 BAR AND GRILL,restaurant_cafe,41.92793,-87.80625
2966780,23 BAR AND GRILL,liquor_tavern,41.92793,-87.80625
2966819,LOS GORDITOS LLC,other,41.81280,-87.66888
2966843,ZERO DEGREES,other,41.87480,-87.69415
2966844,LOS NANDOS HUARACHES,other,41.77788,-87.66650
2966866,SCHOLAR'S PARADISE,other,41.70711,-87.61362
2966871,THE ROYAL TREATMENT VETERINARY CENTER,other,41.96507,-87.67358
2966898,FOOTSTATION MASSAGE,personal_services,41.93379,-87.66022
2966922,SARAH ROBERTS,medical_health,41.74565,-87.61977
2966944,WRENCH WIZ INC.,other,41.94326,-87.72716
2966950,McDonald's #27672,restaurant_cafe,41.80094,-87.58764
2966962,Root and Sprig,restaurant_cafe,41.79126,-87.60508
2966987,FULTON SUPER MART,grocery,41.88605,-87.64763
2967014,F1 HEAD SPA,personal_services,41.83481,-87.64606
2967110,Duffy's Tavern & Grille,restaurant_cafe,41.93300,-87.64019
2967111,Duffy's Tavern & Grille,other,41.93300,-87.64019
2967112,Duffy's Tavern & Grille,liquor_tavern,41.93300,-87.64019
2967122,FADES BY ADI,personal_services,41.94000,-87.80697
2967123,KAMEYA RAMEN,liquor_tavern,41.94015,-87.64466
2967127,LA LAGARTIJA,restaurant_cafe,41.87914,-87.66690
2967135,TEMAX GARDEN CAFE,restaurant_cafe,41.84530,-87.68561
2967163,DREAM MOTOR WERKS,other,41.81847,-87.64442
2967165,LA ESMERALDA DELI,grocery,41.90220,-87.72614
2967199,RICKY'S MUFFLERS & BODY REPAIR,other,41.77999,-87.68129
2967208,Clover Lincoln Park,other,41.93282,-87.64946
2967209,Clover Lincoln Park,liquor_tavern,41.93282,-87.64946
2967230,LIMONI BELLI PIZZERIA AND COCKTAIL BAR,other,41.89171,-87.66094
2967303,M. J CAFE,restaurant_cafe,41.67614,-87.64200
2967388,INTENTIONAL SPORTS,other,41.91413,-87.75569
2967413,"CAD RESTAURANT GROUP, LTD DBS JERSEY MIKE'S",restaurant_cafe,41.94778,-87.68844
2967415,"ASHLAND COMMERCIAL, LLC",other,41.87900,-87.66719
2967459,NO SAUCE SMOKING BBQ,restaurant_cafe,41.75821,-87.62009
2967470,Artifact Records,retail_general,41.92454,-87.71303
2967489,AND SHE BAKES TOO,other,41.89876,-87.74892
2971133,COLIBRI COFFEE,restaurant_cafe,41.70262,-87.53497
2971151,NEW WASH LAUNDROMAT,personal_services,41.94564,-87.77821
2971156,SHADYSNOBS BEAUTY BAR,personal_services,41.70424,-87.68141
2971157,CHEF ART SMITH'S REUNION RESTAURANT,liquor_tavern,41.89209,-87.61157
2971171,DREAM BIG SCHOLASTIC ACADEMY,other,41.74248,-87.58592
2971193,LAS CARNITAS URUAPAN,restaurant_cafe,41.84421,-87.71973
2971194,LAS CARNITAS URUAPAN,liquor_tavern,41.84421,-87.71973
2971225,BELLA BOBA CAFE,restaurant_cafe,41.99722,-87.76282
2971238,OOH CATERING & EVENTS,grocery,41.89080,-87.67170
2971239,OOH CATERING & EVENTS,liquor_tavern,41.89080,-87.67170
2971303,PETER'S BARBER SHOP,personal_services,41.79325,-87.73020
2971321,MOMTY'S GRILL,restaurant_cafe,41.74356,-87.61458
2971328,MIKAMI,liquor_tavern,41.86400,-87.62423
2971336,OLD SCHOOL AUTO CLINIC,other,41.88675,-87.74949
2971340,Silk Road of Chicago,liquor_tavern,41.87948,-87.63531
2971387,DESTINY'S WATER ICE COMPANY,retail_general,41.81944,-87.66538
2971396,TELOLOAPAN AUTO SERVICE II,retail_general,41.84836,-87.68539
2971404,X-Golf Southloop,restaurant_cafe,41.86849,-87.64061
2971405,X-Golf Southloop,other,41.86849,-87.64061
2971406,X-Golf Southloop,liquor_tavern,41.86849,-87.64061
2971447,NICKY'S GRILL & YOGURT OASIS,liquor_tavern,41.70264,-87.68165
2971448,KHMAI,restaurant_cafe,42.00219,-87.66091
2971449,KHMAI,liquor_tavern,42.00219,-87.66091
2971461,JB AUTO REPAIR,other,41.90244,-87.73380
