ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
472570839,Pritzker Military Foundation,202223199349107867,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,69,3876651.0,3876651.0,,3874251.0,0.0,reconciled,row sum ties printed line-3a total within $1,6,109421.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349107867_public.xml,bb95445a1724fce9,phase2-2026-08-03.1
472570839,Pritzker Military Foundation,202333129349102553,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,73,3419353.0,3419353.0,,3416953.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,249900.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333129349102553_public.xml,3e476624baf65d8e,phase2-2026-08-03.1
472570839,Pritzker Military Foundation,202413189349101101,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,75,3609726.0,3609726.0,,3606126.0,0.0,reconciled,row sum ties printed line-3a total within $1,11,372385.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413189349101101_public.xml,ccaad42b495226e1,phase2-2026-08-03.1
472570839,Pritzker Military Foundation,202503119349101485,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,76,4022119.0,4022119.0,,4018519.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,25000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503119349101485_public.xml,1bdccb8c180e86d5,phase2-2026-08-03.1
475610834,Chicago Beyond INC,202233179349101403,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,71,3787129.0,3787129.0,,3787129.0,0.0,reconciled,row sum ties printed line-3a total within $1,59,3233774.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202233179349101403_public.xml,f254f476d854dba1,phase2-2026-08-03.1
475610834,Chicago Beyond INC,202443209349104664,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,41,10465381.0,10465381.0,,10465381.0,0.0,reconciled,row sum ties printed line-3a total within $1,27,5403336.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443209349104664_public.xml,2625a3305783784c,phase2-2026-08-03.1
475610834,Chicago Beyond INC,202533189349101708,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,30,9949333.0,9949333.0,,9949333.0,0.0,reconciled,row sum ties printed line-3a total within $1,10,2344000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533189349101708_public.xml,0f56991fc69de54d,phase2-2026-08-03.1
476858270,Sue Ling Gin Foundation TR,202233089349100033,2021,990PF,2021v4.2,2021-07-01,2022-06-30,N,5,4660181.0,4660181.0,,4660181.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,4624681.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202233089349100033_public.xml,ad78fd5b075bd903,phase2-2026-08-03.1
476858270,Sue Ling Gin Foundation TR,202303349349100605,2022,990PF,2022v5.0,2022-07-01,2023-06-30,N,2,4501721.0,4501721.0,,4501721.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,4501721.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202303349349100605_public.xml,5e1f981c8bac8065,phase2-2026-08-03.1
476858270,Sue Ling Gin Foundation TR,202443209349104489,2023,990PF,2023v5.1,2023-07-01,2024-06-30,N,13,8593050.0,8593050.0,,8593050.0,0.0,reconciled,row sum ties printed line-3a total within $1,6,8373050.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443209349104489_public.xml,fd6aa79fe36d5e0b,phase2-2026-08-03.1
