project_id_or_row,cde_name,project_qlici_amount,estimated_total_project_cost,year,purpose_text,city,state,zip_or_tract,zip_or_tract_type,lat,lng,coord_status,census_tract_2020,tract_centroid_lat,tract_centroid_lng,community_area_source
IL0164,NAB Bank,1680000,3000000,2011,Business Financing,Chicago,Illinois,60640,zip,,,missing_no_street_address_in_source,17031031200,41.9727092,-87.657341,2020_tract_centroid_pip
IL0165,Chicago Development Fund,13475000,48012735,2012,Business Financing,Chicago,Illinois,60625,zip,,,missing_no_street_address_in_source,17031040201,41.9725804,-87.6940005,2020_tract_centroid_pip
IL0166,Chicago Development Fund,9800000,10009952,2012,Business Financing,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500300,41.689315,-87.6053698,2020_tract_centroid_pip
IL0170,Chicago Development Fund,6125000,7041416,2013,Business Financing,Chicago,Illinois,60647,zip,,,missing_no_street_address_in_source,17031242600,41.90056,-87.694197,2020_tract_centroid_pip
IL0171,Chicago Development Fund,11221000,12359417,2013,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60651,zip,,,missing_no_street_address_in_source,17031230600,41.906155,-87.7339986,2020_tract_centroid_pip
IL0174,"Five Points Community Capital, LLC",21660000,21710000,2013,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031837100,41.8856736,-87.6987204,2020_tract_centroid_pip
IL0175,Chicago Development Fund,15740000,16101703,2013,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031836800,41.8850903,-87.7149666,2020_tract_centroid_pip
IL0176,"Advantage Capital Community Development Fund, LLC",3767000,7813617,2013,Business Financing,Chicago,Illinois,60647,zip,,,missing_no_street_address_in_source,17031220902,41.9227112,-87.7218357,2020_tract_centroid_pip
IL0177,Chicago Development Fund,11515000,11567036,2013,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60615,zip,,,missing_no_street_address_in_source,17031843600,41.8067653,-87.6089488,2020_tract_centroid_pip
IL0181,"Five Points Community Capital, LLC",21600000,26112508,2014,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031843000,41.8679365,-87.7227489,2020_tract_centroid_pip
IL0183,Chase New Markets Corporation,6400000,7364533,2014,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031420500,41.7831002,-87.6084261,2020_tract_centroid_pip
IL0184,"Five Points Community Capital, LLC",29990000,22731152,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Other Financing Purpose; Business Financing,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0197,Chicago Development Fund,5880000,11689909,2014,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60619,zip,,,missing_no_street_address_in_source,17031470100,41.7282207,-87.5964894,2020_tract_centroid_pip
IL0198,"Five Points Community Capital, LLC",3262000,3262000,2014,Business Financing,Chicago,Illinois,60641,zip,,,missing_no_street_address_in_source,17031210400,41.935745,-87.7303057,2020_tract_centroid_pip
IL0199,"Southside Community Optimal Redevelopment Enterprise, LLC",7840000,7845261,2014,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60660,zip,,,missing_no_street_address_in_source,17031010503,42.0003207,-87.6631262,2020_tract_centroid_pip
IL0204,"PNC Community Partners, Inc.",8540000,16423034,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031836100,41.7998052,-87.6186826,2020_tract_centroid_pip
IL0205,"PNC Community Partners, Inc.",13290000,15811327,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60621,zip,,,missing_no_street_address_in_source,17031834800,41.7836336,-87.6450883,2020_tract_centroid_pip
IL0206,Chase New Markets Corporation,17040000,17849951,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60653,zip,,,missing_no_street_address_in_source,17031360200,41.8268855,-87.6098876,2020_tract_centroid_pip
IL0208,Cinnaire New Markets LLC,19710000,61737429,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60651,zip,,,missing_no_street_address_in_source,17031836600,41.8986973,-87.7088059,2020_tract_centroid_pip
IL0210,Chicago Development Fund,10820000,13736993,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031843000,41.8679365,-87.7227489,2020_tract_centroid_pip
IL0211,Chicago Development Fund,9800000,12256202,2015,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031842900,41.8631389,-87.6729371,2020_tract_centroid_pip
IL0212,Chase New Markets Corporation,21850000,23845992,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031841500,41.8616224,-87.7079132,2020_tract_centroid_pip
IL0216,"Five Points Community Capital, LLC",1000000,1000000,2015,Business Financing,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031837800,41.8847504,-87.6841272,2020_tract_centroid_pip
IL0220,Chicago Development Fund,5390000,6310131,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031280400,41.8860094,-87.6718846,2020_tract_centroid_pip
IL0221,"BMO Harris New Markets Fund, LLC",4950000,7057552,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031843200,41.8487153,-87.6642169,2020_tract_centroid_pip
IL0222,"Southside Community Optimal Redevelopment Enterprise, LLC",5880000,12976902,2015,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031210400,41.935745,-87.7303057,2020_tract_centroid_pip
IL0224,"BMO Harris New Markets Fund, LLC",7920000,22883090,2015,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031191200,41.9201432,-87.7608269,2020_tract_centroid_pip
IL0242,"Southside Community Optimal Redevelopment Enterprise, LLC",2880000,37972946,2016,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60638,zip,,,missing_no_street_address_in_source,17031820901,41.7628985,-87.7745229,2020_tract_centroid_pip
IL0244,"Urban Development Fund, LLC",6500000,16857585,2016,Business Financing,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031836200,41.7904693,-87.6012849,2020_tract_centroid_pip
IL0253,"BMO Harris New Markets Fund, LLC",5940000,5940000,2016,Business Financing,Chicago,Illinois,60634,zip,,,missing_no_street_address_in_source,17031190401,41.9347276,-87.7809524,2020_tract_centroid_pip
