foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Arie and Ida Crown Memorial,2022,SPERTUS INSTITUTE FOR JEWISH LEARNING AND LEADERSHIP,610 SOUTH MICHIGAN AVENUE,CHICAGO,IL,60605,160000,PROGRAM,990-PF,41.873645350583,-87.624365209803,sited
Arie and Ida Crown Memorial,2022,BETWEEN FRIENDS,PO BOX 608548,CHICAGO,IL,60660,155000,GENERAL OPERATING;PROGRAM,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,APNA GHAR INC OUR HOME,4350 N BROADWAY 2ND FLOOR,CHICAGO,IL,60613,150000,GENERAL OPERATING;PROGRAM,990-PF,41.961435825679,-87.655004955601,sited
Arie and Ida Crown Memorial,2022,CHICAGO COMMUNITY FOUNDATION,33 S STATE ST SUITE 750,CHICAGO,IL,60603,150000,GENERAL OPERATING,990-PF,41.881652198165,-87.627682025192,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHICAGO PUBLIC EDUCATION FUND,200 WEST ADAMS SUITE 1175,CHICAGO,IL,60606,150000,PROGRAM,990-PF,41.879443442077,-87.633831702154,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,COMMUNITY HEALTH NFP,2611 WEST CHICAGO AVENUE,CHICAGO,IL,60622,150000,GENERAL OPERATING,990-PF,41.895632216929,-87.692081138071,sited
Arie and Ida Crown Memorial,2022,INSPIRATION CORPORATION,4554 N BROADWAY SUITE 207,CHICAGO,IL,60640,150000,GENERAL OPERATING,990-PF,41.964552431543,-87.657020755639,sited
Arie and Ida Crown Memorial,2022,JEWISH COUNCIL FOR YOUTH SERVICES,150 N MICHIGAN AVE,CHICAGO,IL,60601,150000,GENERAL OPERATING;PROGRAM,990-PF,41.884931224143,-87.624552861651,sited
Arie and Ida Crown Memorial,2022,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET,CHICAGO,IL,60606,150000,PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,MUJERES LATINAS EN ACCION,2124 WEST 21ST PLACE,CHICAGO,IL,60608,150000,GENERAL OPERATING,990-PF,41.853107393497,-87.678958481099,sited
Arie and Ida Crown Memorial,2022,NOBLE NETWORK OF CHARTER SCHOOLS,1 NORTH STATE STREET FLOOR 15,CHICAGO,IL,60602,150000,PROGRAM,990-PF,41.882657943888,-87.627775865919,sited
Arie and Ida Crown Memorial,2022,ONEGOAL,180 N WABASH AVE,CHICAGO,IL,60601,150000,PROGRAM,990-PF,41.885383955465,-87.626340906809,sited
Arie and Ida Crown Memorial,2022,ROGER BALDWIN FOUNDATION OF ACLU,150 NORTH MICHIGAN AVENUE,CHICAGO,IL,60601,150000,CAPITAL,990-PF,41.884931224143,-87.624552861651,intermediary_or_citywide
