ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
363261347,The Richard H Driehaus Foundation,202423209349102072,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,1,10431221.0,10431221.0,16562718.0,10431221.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423209349102072_public.xml,04d7ef1b305c50df,tier1-2026-08-03.1
363261347,The Richard H Driehaus Foundation,202343199349101769,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,1,5162401.0,5162401.0,4792148.0,5162401.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343199349101769_public.xml,4cab4187bca1b6a7,tier1-2026-08-03.1
853003942,Trott Family Philanthropies INC,202543179349101704,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,77,17417443.0,17417443.0,17417443.0,17417443.0,0.0,reconciled,row sum ties printed line-3a total within $1,12,3008334.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543179349101704_public.xml,199a8a9bd0b3d0ec,tier1-2026-08-03.1
853003942,Trott Family Philanthropies INC,202433199349104803,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,65,16521190.0,16521190.0,16521190.0,16521190.0,0.0,reconciled,row sum ties printed line-3a total within $1,14,3068333.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202433199349104803_public.xml,3195683c0470f111,tier1-2026-08-03.1
853003942,Trott Family Philanthropies INC,202313199349104391,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,50,9943383.0,9943383.0,9943383.0,9943383.0,0.0,reconciled,row sum ties printed line-3a total within $1,11,3068333.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349104391_public.xml,d66071664388c1aa,tier1-2026-08-03.1
853941297,Antonio J Gracias Family Foundation INC,202503179349100830,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,15,12032500.0,12032500.0,12032500.0,12032500.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,1100000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349100830_public.xml,ca28f52939f8d47e,tier1-2026-08-03.1
853941297,Antonio J Gracias Family Foundation INC,202443209349101449,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,17,16188978.0,16188978.0,16188978.0,16188978.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,1225000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443209349101449_public.xml,a9ef3523f4ab1f85,tier1-2026-08-03.1
853941297,Antonio J Gracias Family Foundation INC,202303199349108075,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,18,32647807.0,32647807.0,32647807.0,32647807.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,1375000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202303199349108075_public.xml,504a6e75c15d03b2,tier1-2026-08-03.1
527240192,Scanlan Family Foundation,202543179349100314,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,11,16894526.0,16894526.0,16894526.0,16894526.0,0.0,reconciled,row sum ties printed line-3a total within $1,1,1500000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543179349100314_public.xml,3cffd8b17a0acb7c,tier1-2026-08-03.1
527240192,Scanlan Family Foundation,202443199349105549,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,9,15023308.0,15023308.0,15023308.0,15023308.0,0.0,reconciled,row sum ties printed line-3a total within $1,1,1500000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443199349105549_public.xml,5307a923074331af,tier1-2026-08-03.1
527240192,Scanlan Family Foundation,202323199349100622,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,3,5690200.0,5690200.0,5690200.0,5690200.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349100622_public.xml,a9b2ab96b9ac6cfc,tier1-2026-08-03.1
756008809,Audrey E & Donald L Hutt TR 283,202511279349101246,2024,990PF,2024v5.0,2024-01-01,2024-12-31,N,5,12036820.0,12036820.0,12036820.0,12036820.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511279349101246_public.xml,146439610db5c336,tier1-2026-08-03.1
756008809,Audrey E & Donald L Hutt TR 283,202441289349103474,2023,990PF,2023v5.0,2023-01-01,2023-12-31,N,5,14859950.0,14859950.0,14859950.0,14859950.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441289349103474_public.xml,f6118b5fe4b43d86,tier1-2026-08-03.1
756008809,Audrey E & Donald L Hutt TR 283,202341219349101114,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,5,14614735.0,14614735.0,14614735.0,14614735.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202341219349101114_public.xml,5956dd29a8a3d9dd,tier1-2026-08-03.1
756104159,Jewel Nail Bomar Trust 8336230300,202523099349101002,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,2,19412350.0,19412350.0,19412350.0,19412350.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523099349101002_public.xml,256667af766e23d6,tier1-2026-08-03.1
756104159,Jewel Nail Bomar Trust 8336230300,202403119349101975,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,2,14821930.0,14821930.0,14821930.0,14821930.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403119349101975_public.xml,266ff4c438631cc5,tier1-2026-08-03.1
756104159,Jewel Nail Bomar Trust 8336230300,202343149349101459,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,2,12767998.0,12767998.0,12767998.0,12767998.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343149349101459_public.xml,35fe22e04b9b884e,tier1-2026-08-03.1
