program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,7276,Senior Services,"4952 W Thomas St, Chicago, IL 60651",20223.40,,Public Services,,2006-12-31,41.900636,-87.750179
cdbg,7277,"Other Public Services Not Listed in 05A-05Y, 03T","1609 S Homan Ave, Chicago, IL 60623",3326.00,,Public Services,,2006-12-31,41.858863,-87.710066
cdbg,7279,"Other Public Services Not Listed in 05A-05Y, 03T","2720 W Division St, Chicago, IL 60622",81443.22,,Public Services,,2007-12-31,41.902791,-87.695719
cdbg,7280,Senior Services,"4150 S King Dr, Chicago, IL 60653",6192.28,,Public Services,,2006-12-31,41.819323,-87.617352
cdbg,7281,Senior Services,"9046 S Mackinaw Ave, Chicago, IL 60617",9211.00,,Public Services,,2006-12-31,41.730672,-87.543197
cdbg,7293,Youth Services,"1343 N California Ave, Chicago, IL 60622",17373.19,,Public Services,,2007-12-31,41.905888,-87.696709
cdbg,7297,Employment Training,"3533 W North Ave, Chicago, IL 60647",31572.00,,Public Services,,2007-12-31,41.90982,-87.715271
cdbg,7310,Youth Services,"1909 W Byron St, Chicago, IL 60613",22181.29,,Public Services,,2007-12-31,41.952203,-87.676679
cdbg,7347,ED Direct: Technical Assistance,"1843 S Carpenter St, Chicago, IL 60608",57084.89,,Economic Development,,2007-12-31,41.857183,-87.652968
cdbg,7348,ED Direct: Technical Assistance,"2601 W 63rd St, Chicago, IL 60629",65596.84,,Economic Development,,2007-12-31,41.779026,-87.688541
cdbg,7349,ED Direct: Technical Assistance,"3333 W Arthington St, Chicago, IL 60624",64649.13,,Economic Development,,2007-12-31,41.869882,-87.709003
cdbg,7350,Senior Services,"2601 W 63rd St, Chicago, IL 60629",10000.00,,Public Services,,2007-12-31,41.779026,-87.688541
cdbg,7351,Senior Services,"5008 N Kedzie Ave, Chicago, IL 60625",15000.00,,Public Services,,2007-12-31,41.972264,-87.708819
cdbg,7352,ED Direct: Technical Assistance,"1751 W 47th St, Chicago, IL 60609",68271.92,,Economic Development,,2007-12-31,41.808438,-87.668939
cdbg,7353,ED Direct: Technical Assistance,"1000 E 111th St, Chicago, IL 60628",79537.62,,Economic Development,,2007-12-31,41.692912,-87.599477
cdbg,7354,ED Direct: Technical Assistance,"4554 W North Ave, Chicago, IL 60639",79384.00,,Economic Development,,2007-12-31,41.909924,-87.740671
cdbg,7355,ED Direct: Technical Assistance,"4432 N Ravenswood Ave, Chicago, IL 60640",46262.60,,Economic Development,,2007-12-31,41.962866,-87.674744
cdbg,7356,ED Direct: Technical Assistance,"745 N Milwaukee Ave, Chicago, IL 60642",83037.00,,Economic Development,,2007-12-31,41.895332,-87.65363
cdbg,7357,ED Direct: Technical Assistance,"7015 N Western Ave, Chicago, IL 60645",61720.56,,Economic Development,,2007-12-31,42.009285,-87.689916
cdbg,7358,ED Direct: Technical Assistance,"1866 N Marcey St, Chicago, IL 60614",73999.54,,Economic Development,,2007-12-31,41.915506,-87.657336
cdbg,7359,ED Direct: Technical Assistance,"2756 S Harding Ave, Chicago, IL 60623",51177.54,,Economic Development,,2008-12-13,41.841397,-87.723466
cdbg,7360,ED Direct: Technical Assistance,"3400 W Lawrence Ave, Chicago, IL 60625",96834.45,,Economic Development,,2007-12-31,41.968565,-87.713388
cdbg,7364,ED Direct: Technical Assistance,"5209 N Clark St, Chicago, IL 60640",41558.00,,Economic Development,,2007-12-31,41.97647,-87.668203
cdbg,7372,ED Direct: Technical Assistance,"5159 N Clark St, Chicago, IL 60640",29999.99,,Economic Development,,2007-12-31,41.975675,-87.668168
cdbg,7376,ED Direct: Technical Assistance,"1751 W 47th St, Chicago, IL 60609",37849.63,,Economic Development,,2007-12-31,41.808438,-87.668939
cdbg,7379,ED Direct: Technical Assistance,"200 E 75th St, Chicago, IL 60619",41046.27,,Economic Development,,2007-12-31,41.758492,-87.61914
cdbg,7383,ED Direct: Technical Assistance,"700 N Sacramento Blvd Ste 130, Chicago, IL 60612",64669.47,,Economic Development,,2007-12-31,41.893195,-87.702588
cdbg,7387,ED Direct: Technical Assistance,"2169 S China Pl, Chicago, IL 60616",41999.84,,Economic Development,,2007-12-31,41.853663,-87.634779
cdbg,7388,ED Direct: Technical Assistance,"100 S Michigan Ave, Chicago, IL 60603",41452.00,,Economic Development,,2007-12-31,41.880833,-87.624656
cdbg,7389,ED Direct: Technical Assistance,"7516 N Clark St, Chicago, IL 60626",91924.73,,Economic Development,,2007-12-31,42.018247,-87.676134
cdbg,7390,ED Direct: Technical Assistance,"2459 W Division St, Chicago, IL 60622",55500.00,,Economic Development,,2007-12-31,41.902856,-87.688713
cdbg,7391,ED Direct: Technical Assistance,"1210 W Rosedale Ave, Chicago, IL 60660",92352.00,,Economic Development,,2008-12-13,41.989169,-87.660751
cdbg,7392,ED Direct: Technical Assistance,"10635 S Ewing Ave, Chicago, IL 60617",26887.00,,Economic Development,,2007-12-31,41.701941,-87.535052
cdbg,7393,ED Direct: Technical Assistance,"3350 W Diversey Ave, Chicago, IL 60647",49645.59,,Economic Development,,2007-12-31,41.932157,-87.71132
cdbg,7394,ED Direct: Technical Assistance,"1159 W 79th St, Chicago, IL 60620",41390.90,,Economic Development,,2007-12-31,41.750344,-87.653032
cdbg,7395,ED Direct: Technical Assistance,"2958 N Milwaukee Ave, Chicago, IL 60618",24112.42,,Economic Development,,2007-12-31,41.934985,-87.717422
cdbg,7396,ED Direct: Technical Assistance,"3350 W Jackson Blvd, Chicago, IL 60624",65642.78,,Economic Development,,2007-12-31,41.877469,-87.710276
cdbg,7398,ED Direct: Technical Assistance,"3512 W Fullerton Ave, Chicago, IL 60647",55411.00,,Economic Development,,2007-12-31,41.924849,-87.715038
cdbg,7399,ED Direct: Technical Assistance,"3333 W Arthington St, Chicago, IL 60624",31391.03,,Economic Development,,2007-12-31,41.869882,-87.709003
cdbg,7400,ED Direct: Technical Assistance,"3843 W Ogden Ave, Chicago, IL 60623",32183.56,,Economic Development,,2007-12-31,41.852109,-87.72089
cdbg,7401,ED Direct: Technical Assistance,"3610 W 26th St, Chicago, IL 60623",73553.38,,Economic Development,,2007-12-31,41.844552,-87.715294
cdbg,7404,ED Direct: Technical Assistance,"69 W Washington St, Chicago, IL 60602",41625.00,,Economic Development,,2007-12-31,41.883065,-87.629966
cdbg,7405,ED Direct: Technical Assistance,"1965 N Milwaukee Ave, Chicago, IL 60647",77589.00,,Economic Development,,2007-12-31,41.917223,-87.687664
cdbg,7406,ED Direct: Technical Assistance,"4054 W North Ave, Chicago, IL 60639",83249.92,,Economic Development,,2007-12-31,41.910094,-87.728064
cdbg,7407,ED Direct: Technical Assistance,"1801 S Ashland Ave, Chicago, IL 60608",26570.21,,Economic Development,,2008-12-13,41.857819,-87.665857
cdbg,7408,ED Direct: Technical Assistance,"2300 W Lawrence Ave, Chicago, IL 60625",31568.20,,Economic Development,,2007-12-31,41.968833,-87.686465
