geography,geography_level,year,transaction_count,dollars,instrument_mix_text,transactions_missing_amount
Lower West Side,community_area,2022,20,2136872,"TERM: 14 txn / $1,588,492; LOC: 6 txn / $548,380",0
Gage Park,community_area,2022,27,2091021,"TERM: 26 txn / $2,065,250; LOC: 1 txn / $25,771",0
Ashburn,community_area,2022,26,2078103,"TERM: 23 txn / $2,039,692; LOC: 3 txn / $38,411",0
West Lawn,community_area,2022,26,1882471,"TERM: 25 txn / $1,856,700; LOC: 1 txn / $25,771",0
Roseland,community_area,2022,29,1695202,"TERM: 25 txn / $1,638,198; LOC: 4 txn / $57,004",0
South Deering,community_area,2022,12,1686316,"TERM: 12 txn / $1,686,316",0
Dunning,community_area,2022,34,1476428,"TERM: 31 txn / $1,422,790; LOC: 3 txn / $53,638",0
North Park,community_area,2022,11,1397705,"TERM: 9 txn / $1,346,163; LOC: 2 txn / $51,542",0
Ohare,community_area,2022,12,1393162,"TERM: 8 txn / $765,620; LOC: 4 txn / $627,542",0
Washington Heights,community_area,2022,14,1342578,"TERM: 11 txn / $1,103,489; LOC: 3 txn / $239,089",0
Garfield Ridge,community_area,2022,19,1339630,"TERM: 19 txn / $1,339,630",0
Norwood Park,community_area,2022,9,1205849,"TERM: 8 txn / $1,186,773; LOC: 1 txn / $19,076",0
South Chicago,community_area,2022,17,1168927,"TERM: 16 txn / $1,072,927; EQTYINV: 1 txn / $96,000",0
Jefferson Park,community_area,2022,9,1120311,"TERM: 8 txn / $1,117,765; LOC: 1 txn / $2,546",0
East Side,community_area,2022,4,928071,"TERM: 4 txn / $928,071",0
Avalon Park,community_area,2022,9,901033,"TERM: 7 txn / $872,651; LOC: 2 txn / $28,382",0
Clearing,community_area,2022,21,888117,"TERM: 21 txn / $888,117",0
Montclare,community_area,2022,12,616717,"TERM: 12 txn / $616,717",0
Oakland,community_area,2022,5,605742,"TERM: 5 txn / $605,742",0
Hegewisch,community_area,2022,2,468800,"TERM: 2 txn / $468,800",0
Albany Park,community_area,2022,27,395421,"TERM: 27 txn / $395,421",0
Pullman,community_area,2022,7,251354,"TERM: 7 txn / $251,354",0
Calumet Heights,community_area,2022,8,199892,"TERM: 7 txn / $174,121; LOC: 1 txn / $25,771",0
West Pullman,community_area,2022,7,185337,"TERM: 6 txn / $182,741; LOC: 1 txn / $2,596",0
Forest Glen,community_area,2022,2,117596,"TERM: 2 txn / $117,596",0
Riverdale,community_area,2022,2,16989,"TERM: 2 txn / $16,989",0
Fuller Park,community_area,2022,2,3496,"TERM: 2 txn / $3,496",0
Cook County IL - outside Chicago community areas (suburban/unmatched tract),county,2021,8097,227865201,"TERM: 8089 txn / $223,691,201; LOC: 8 txn / $4,174,000",0
Cook County IL - outside Chicago community areas (suburban/unmatched tract),county,2022,1358,186930104,"TERM: 1206 txn / $137,240,067; LOC: 152 txn / $49,690,037",0
