hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILB19950806,EAST LAKE,4257 S KING DR,60653,65,65,,1995,1995,41.817264,-87.616323,hud_source
ILB19960005,BELRAY APTS,3150 N RACINE AVE,60657,70,70,,1995,1996,41.939456,-87.659169,hud_source
ILB19960010,EAST GARFIELD PARK PLACE,3441 W MONROE ST,60624,25,25,,1995,1996,41.879426,-87.712006,hud_source
ILB19960015,ENGLEWOOD GARDENS,7000 S EGGLESTON AVE,60621,167,167,,1995,1996,41.767115,-87.63622,hud_source
ILB19960020,LAZURUS PROJECT,1900 S HARDING AVE,60623,48,48,,1994,1996,41.854506,-87.723786,hud_source
ILB19960025,NUESTRO PUEBLO APARTMETNS,901 N SACRAMENTO BLVD,60622,24,24,,1994,1996,41.898088,-87.701747,hud_source
ILB19960030,PARKSIDE TERRACE,128 N PARKSIDE AVE,60644,62,44,,1995,1996,41.882934,-87.766777,hud_source
ILB19960035,PAUL G STEWART APTS V,410 E BOWEN AVE,60653,96,77,,1994,1996,41.819501,-87.616229,hud_source
ILB19960040,REBECCA WALKER COMPLEX,126 S CENTRAL AVE,60644,64,57,,1994,1996,41.878429,-87.76498,hud_source
ILB19960045,SENIOR SUITES OF CENTRAL STATION,1400 S INDIANA AVE,60605,96,96,430597,1995,1996,41.86416,-87.622788,hud_source
ILB19960050,SENIOR SUITES OF SOUTH SHORE,2345 E 67TH ST,60649,96,96,273881,1994,1996,41.773387,-87.56784,hud_source
ILB19970005,CENTRAL WOODLAWN PARTNR,6156 S UNIVERSITY AVE,60637,84,84,,1995,1997,41.783117,-87.59812,hud_source
ILB19970015,DREXEL STREET PROPERTIES,4027 S DREXEL BLVD,60653,61,61,,1995,1997,41.820695,-87.604593,hud_source
ILB19970025,MAE SUITES,148 N MAYFIELD AVE,60644,39,39,,1996,1997,41.883207,-87.772067,hud_source
ILB19970030,MAYFAIR COMMONS SENIOR BLDG,4444 W LAWRENCE AVE,60630,97,97,,1995,1997,41.968301,-87.739694,hud_source
ILB19970035,ROWAN TREES APTS,500 W ENGLEWOOD AVE,60621,45,45,,1996,1997,41.780949,-87.637538,hud_source
ILB19970040,WINTHROP APTS,6214 N WINTHROP AVE,60660,93,93,,1996,1997,41.99497,-87.658568,hud_source
ILB19970800,LAWN TERRACE APTS,3214 W 63RD PL,60629,102,102,,1995,1997,41.778202,-87.703473,hud_source
ILB19979001,WOODLAWN MICHIGAN APARTMENTS,5630 S MICHIGAN AVE,60637,84,84,,1997,1997,41.79238,-87.622619,hud_source
