sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
exelon-2025-031,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Minority Supplier Development Council,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-032,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Network,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-033,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Park District,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-034,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Police Memorial Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-035,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Public Library Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-036,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Southland Chamber of Commerce,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-037,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Southland Convention & Visitor Bureau,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-038,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Southland Economic Dev Corp,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-039,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago State Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-040,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Theatre Group,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-041,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago United,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-042,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Urban League,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-043,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Westside Branch NAACP,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-044,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Wilderness Alliance,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-045,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Women in Philanthropy,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-046,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Youth Boxing Club,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
