sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
comcast-rise-2021-038,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Love Kinky Hair,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-039,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Lucila's Homemade, LLC",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-040,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Marcia G. Lee Realty,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-041,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Murphy’s Lounge 2017, LLC",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-042,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Myth's, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-043,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Nail Atelier CO,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-044,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Natural Born Salon,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-045,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,New China Buffet,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-046,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Newground Environmental, LLC",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-047,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Noodles Etc.,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-048,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Northern Decor & Logistics, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
