foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Circle of Service Foundation,2023,HIGH JUMP,820 W JACKSON BLVD SUITE 310,CHICAGO,IL,60607,89150,EDUCATION,990-PF,41.877994443118,-87.648073999333,sited
Circle of Service Foundation,2023,HIRE360,2540 S STATE ST,CHICAGO,IL,60616,25000,EDUCATION,990-PF,41.846278397214,-87.627048351765,sited
Circle of Service Foundation,2023,HIRE360,2540 S STATE ST,CHICAGO,IL,60616,200000,SKILLED CONSTRUCTION TRADES,990-PF,41.846278397214,-87.627048351765,sited
Circle of Service Foundation,2023,HOPE CHICAGO INC,303 E WACKER DRIVE SUITE 2109,CHICAGO,IL,60601,208,MATCH/DISCRETIONARY,990-PF,41.887748427515,-87.620522089915,sited
Circle of Service Foundation,2023,HOUSING OPPORTUNITIES & MAINTENANCE FOR THE ELDERLY INC,945 W GEORGE ST SUITE 218,CHICAGO,IL,60657,25000,COMMUNITY SERVICES,990-PF,41.934407352586,-87.653382201218,sited
Circle of Service Foundation,2023,HOUSING OPPORTUNITIES FOR WOMEN INC,1607 W HOWARD ST THIRD FLOOR,CHICAGO,IL,60626,35000,COMMUNITY SERVICES,990-PF,42.019322210392,-87.671735933799,sited
Circle of Service Foundation,2023,HUBBARD STREET DANCE CHICAGO INC,PO BOX 778859,CHICAGO,IL,60677,15000,COMMUNITY SERVICES,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,IGNITE ORG,180 N MICHIGAN AVE STE 1900,CHICAGO,IL,60601,25000,COMMUNITY SERVICES,990-PF,41.885373782984,-87.624570287649,sited
Circle of Service Foundation,2023,ILLINOIS ACTION FOR CHILDREN,4753 N BROADWAY 1ST FLOOR,CHICAGO,IL,60640,225000,EDUCATION,990-PF,41.968222373579,-87.659195405517,sited
Circle of Service Foundation,2023,ILLINOIS COALITION FOR IMMIGRANT AND REFUGEE RIGHTS,228 S WABASH SUITE 800,CHICAGO,IL,60604,25000,COMMUNITY SERVICES,990-PF,41.87888064402,-87.626181519052,sited
Circle of Service Foundation,2023,ILLINOIS HUMANITIES COUNCIL INCORPORATED,125 S CLARK ST SUITE 650,CHICAGO,IL,60603,1200,MATCH/DISCRETIONARY,990-PF,41.879894571142,-87.630755983561,sited
Circle of Service Foundation,2023,ILLINOIS NETWORK OF CHARTER SCHOOLS,150 N MICHIGAN AVE SUITE 430,CHICAGO,IL,60601,20000,EDUCATION,990-PF,41.884931224143,-87.624552861651,sited
Circle of Service Foundation,2023,ILLINOIS PARTNERS FOR HUMAN SERVICE,33 W GRAND AVE SUITE 300,CHICAGO,IL,60654,25000,COMMUNITY SERVICES,990-PF,41.891596813248,-87.629233461792,sited
Circle of Service Foundation,2023,IMAGINE ENGLEWOOD IF NFP,6407 SOUTH HONORE STREET,CHICAGO,IL,60636,500,MATCH/DISCRETIONARY,990-PF,41.777409220949,-87.670166889334,sited
Circle of Service Foundation,2023,IMPACT FOR EQUITY INC,25 E WASHINGTON STREET SUITE 1515,CHICAGO,IL,60602,1830,MATCH/DISCRETIONARY,990-PF,41.883162849634,-87.626490086268,sited
